ID,Name,Longitude,Latitude,Elevation,Slope,Aspect,Year,Height,BA,Canopy,Diam,d13C,d15N,C_foliar,N_foliar,Ca_foliar,P_foliar,K_foliar,Mg_foliar,Al_foliar,Zn_foliar,Ca_soil,P_soil,K_soil,Mg_soil,Al_soil,Zn_soil,pH,CEC,C_soil,N_soil,Retention
WOND_6,WOND,-68.314648,44.231487,27.96052632,4,88,2019,762,0.245,731.5,21.6,-29.58,1.24,25.92,1.02,1230,2020,630,440,168,25.9,764,9.2,420,290,77,0.4,3.8,23.6,23.36,0.12,31.9
WOND_7,WOND,-68.313489,44.230945,18.09210526,4,109,2019,198.1,0.147,97.5,16.4,-27.65,-4.83,31.64,0.92,1560,810,2990,830,396,37.5,633,4.3,296,208,82,1.1,4,12.7,37.8,NA,11.9
WOND_8,WOND,-68.312919,44.230163,10.52631579,5,204,2019,365.8,0.223,365.8,20.3,-27.98,-4.04,28.43,0.93,2660,800,4130,1470,368,49.8,660,3.7,286,196,88,0.8,4.2,14.8,26,NA,30.5
WOND_9,WOND,-68.313421,44.230741,15.46052632,3,116,2019,243.8,0.349,152.4,25.4,-29.37,-5.98,29.29,0.54,2800,820,3380,1150,825,69.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.3
WOND_10,WOND,-68.318003,44.245159,15.78947368,1,240,2019,518.2,0.367,426.7,27.9,-28.42,-1.78,24.74,1.24,2230,1120,6280,1330,303,36.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.3
WOND_11,WOND,-68.314879,44.231419,11.18421053,6,212,2020,280.4,0.19,256,18.542,-30.01,-4.97,46.94,0.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WOND_12,WOND,-68.315178,44.23162,18.09210526,4,272,2020,435.8,1.227,615.6,48.006,-30.08,-4.35,49.08,1.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WOND_13,WOND,-68.315222,44.23156,18.42105263,6,215,2020,478.5,0.513,384,30.734,-29.58,-6.74,40.09,0.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WOND_14,WOND,-68.315083,44.231716,15.13157895,1,167,2020,524.2,0.196,344.4,19.05,-29.73,-5.84,48.22,1.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WOND_15,WOND,-68.3149,44.231739,21.71052632,5,178,2020,591.3,0.11,350.5,13.97,-29.05,-6.3,48,0.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
