"ID","Name","Longitude","Latitude","Elevation","Slope","Aspect","Height","Canopy","Diam","Ca_foliar","P_foliar","K_foliar","Mg_foliar","Al_foliar","Zn_foliar","d13C","d15N","C_foliar","N_foliar","Ca_soil","P_soil","K_soil","Mg_soil","Al_soil","Zn_soil","pH","CEC","C_soil","N_soil","Retention"
"PP-6-LOWELEV-DIST","CADCLIFFS",-68.185338,44.327824,95,32,138,365.8,243.8,15.2,650,2610,500,540,269,16.7,-31.65,-6.46,47.87,1.46,1360,11.6,108,94,161,2.8,4.2,29.1,16.54,0.34,40.3
"PP-7-LOWELEV-DIST","CADCLIFFS",-68.185424,44.327916,95,33,185,548.6,548.6,45.7,1500,810,3230,890,494,29,-26.96,-2.36,50.55,1.41,254,2.5,150,110,46,2.2,3.8,12,2.08,0.26,38.7
"PP-8-LOWELEV-DIST","CADCLIFFS",-68.185467,44.327778,101,32,130,426.7,304.8,25.4,1050,2760,560,590,303,35.2,-28.42,-4.8,50.29,1.04,293,1.6,101,79,202,2.2,4.1,17.6,10.03,0.43,45.3
"PP-9-LOWELEV-DIST","CADCLIFFS",-68.185617,44.327992,121,38,80,487.7,243.8,16.5,4860,1800,6370,1550,685,98,-30.66,-3.72,23.59,0.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.7
"PP-10-LOWELEV-DIST","CADCLIFFS",-68.185446,44.328192,121,40,244,259.1,106.7,6.4,1430,1190,6030,1130,338,42.8,-29.89,-4,41.78,1.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.9
"PP-11-LOWELEV-DIST","CADCLIFFS",-68.185515,44.327514,113,27,270,NA,NA,NA,NA,NA,NA,NA,NA,NA,-29.23,-1.96,48.5,1.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PP-12-LOWELEV-DIST","CADCLIFFS",-68.185598,44.327558,112,29,140,NA,NA,NA,NA,NA,NA,NA,NA,NA,-29.71,-1.63,47.85,1.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PP-13-LOWELEV-DIST","CADCLIFFS",-68.185728,44.327667,106,31,176,NA,NA,NA,NA,NA,NA,NA,NA,NA,-30.83,-2.48,48.34,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PP-14-LOWELEV-DIST","CADCLIFFS",-68.185713,44.327707,95,32,121,NA,NA,NA,NA,NA,NA,NA,NA,NA,-30.22,-1.25,48.65,1.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PP-15-LOWELEV-DIST","CADCLIFFS",-68.185714,44.327746,114,33,144,NA,NA,NA,NA,NA,NA,NA,NA,NA,-29.92,-1.89,48.45,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PP-1-HIGHELEV-DIST","STSAUV",-68.329148,44.311904,450,19,314,411.5,190.5,27.7,1450,630,4310,730,270,50.8,-26.55,-6.52,39.09,1.13,491,1.6,272,162,143,3.9,4.2,20.9,10.11,0.38,30
"PP-2-HIGHELEV-DIST","STSAUV",-68.327688,44.311331,534,3,254,426.7,182.9,25.4,1910,1980,680,400,344,28.8,-28.29,-5.59,32.37,0.67,508,2.2,284,184,156,4.8,4.2,22.6,12.81,0.5,37.2
"PP-3-HIGHELEV-DIST","STSAUV",-68.326502,44.310736,622,20,275,792.5,594.4,31,590,640,3340,430,217,18.2,-27.49,-4.72,24.85,1.18,762,3.6,401,194,173,4.1,3.9,25.1,24.85,1.18,34.8
"PP-4-HIGHELEV-DIST","STSAUV",-68.32698,44.310686,588,20,257,2011.7,182.9,22.6,740,2990,380,620,194,19.4,-26.72,-6.71,30.07,0.71,518,3.8,363,224,192,4.6,3.7,27.2,12.45,0.61,34.9
"PP-5-HIGHELEV-DIST","STSAUV",-68.327474,44.310921,548,12,282,579.1,396.2,27.9,1170,1710,5558,1010,515,38.2,-28.25,-3.83,47.09,1.24,218,3,142,147,177,2.1,4.6,12.8,23.1,NA,31.7
"PP-6-HIGHELEV-DIST","STSAUV",-68.327431,44.310721,551,13,251,182.9,182.9,28.2,1220,1190,4710,1080,1140,72.4,-27.57,-4.68,25.04,0.64,184,3,196,169,142,2.4,4.5,12.4,24.5,NA,24.2
"PP-7-HIGHELEV-DIST","STSAUV",-68.326745,44.310307,591,12,277,227.85,175.72,16.002,910,610,4540,940,353,47.9,-27.79,-2.47,47.45,1.2,338,3.2,163,138,128,2.2,4.7,11.7,21.5,NA,27.8
"PP-8-HIGHELEV-DIST","STSAUV",-68.326015,44.31023,605,11,122,379.75,244.48,8.89,650,800,5740,600,408,21.6,-27.49,0.07,31.9,1.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.5
"PP-9-HIGHELEV-DIST","STSAUV",-68.324663,44.310261,618,17,247,303.8,183.36,10.16,1190,930,6350,710,293,36.3,-28.29,0.93,51.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.3
"PP-10-HIGHELEV-DIST","STSAUV",-68.323976,44.310061,655,25,237,334.18,213.92,11.43,2380,590,3330,730,348,37.7,-26.72,0.54,31.29,0.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.1
"PP-11-HIGHELEV-DIST","STSAUV",-68.322952,44.310187,677,1,317,NA,NA,NA,NA,NA,NA,NA,NA,NA,-29.7,-2.64,48.32,1.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PP-12-HIGHELEV-DIST","STSAUV",-68.325237,44.311642,651,19,264,NA,NA,NA,NA,NA,NA,NA,NA,NA,-29.51,-2.65,49.87,1.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PP-13-HIGHELEV-DIST","STSAUV",-68.325677,44.31216,635,3,302,NA,NA,NA,NA,NA,NA,NA,NA,NA,-29.68,-2.12,50.06,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PP-14-HIGHELEV-DIST","STSAUV",-68.326271,44.310996,622,16,239,NA,NA,NA,NA,NA,NA,NA,NA,NA,-28.97,-3.29,48.36,1.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PP-15-HIGHELEV-DIST","STSAUV",-68.3263,44.310799,610,9,301,NA,NA,NA,NA,NA,NA,NA,NA,NA,-29.34,-2.3,47.52,1.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PP-1-LOWELEV-DIST","WOND",-68.32232,44.26728,40,2,343,472.4,548.6,21.6,1860,830,3720,910,320,51.5,-28.52,-5.98,47.75,1.07,1506,19.1,627,635,270,10.9,3.9,34.3,47.27,0.95,25.4
"PP-2-LOWELEV-DIST","WOND",-68.315305,44.231704,71,5,245,152.4,167.6,19.4,1420,2260,540,330,176,27.7,-28.89,-1.78,48.58,1.79,1007,12.4,394,416,38,8.6,3.5,33.1,32.15,0.91,14.8
"PP-3-LOWELEV-DIST","WOND",-68.325744,44.268171,37,5,325,365.8,365.8,20.3,1710,930,3430,880,606,34,-29.14,-6.81,50.39,NA,408,1.4,79,71,124,1.9,4.5,15.9,27.17,0.64,19.1
"PP-4-LOWELEV-DIST","WOND",-68.314983,44.231612,71,1,313,365.8,609.6,20.3,1220,2700,460,570,274,24.7,-27.65,-6.81,47.37,1.05,476,1.5,183,207,86,3.2,4,18.7,18.62,0.31,9.3
"PP-5-LOWELEV-DIST","WOND",-68.314683,44.231535,58,4,94,487.7,557.6,20.3,1480,810,3170,890,488,29.7,-28.19,-1.33,36.73,0.67,926,13.8,475,327,92,6.4,3.6,33.9,12.7,0.34,18.6
"PP-6-LOWELEV-DIST","WOND",-68.314648,44.231487,85,4,88,762,731.5,21.6,1230,2020,630,440,168,25.9,-29.58,1.24,25.92,1.02,764,9.2,420,290,77,0.4,3.8,23.6,23.36,0.12,31.9
"PP-7-LOWELEV-DIST","WOND",-68.313489,44.230945,55,4,109,198.1,97.5,16.4,1560,810,2990,830,396,37.5,-27.65,-4.83,31.64,0.92,633,4.3,296,208,82,1.1,4,12.7,37.8,NA,11.9
"PP-8-LOWELEV-DIST","WOND",-68.312919,44.230163,32,5,204,365.8,365.8,20.3,2660,800,4130,1470,368,49.8,-27.98,-4.04,28.43,0.93,660,3.7,286,196,88,0.8,4.2,14.8,26,NA,30.5
"PP-9-LOWELEV-DIST","WOND",-68.313421,44.230741,47,3,116,243.8,152.4,25.4,2800,820,3380,1150,825,69.1,-29.37,-5.98,29.29,0.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.3
"PP-10-LOWELEV-DIST","WOND",-68.318003,44.245159,48,1,240,518.2,426.7,27.9,2230,1120,6280,1330,303,36.1,-28.42,-1.78,24.74,1.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.3
"PP-11-LOWELEV-DIST","WOND",-68.314879,44.231419,34,6,212,NA,NA,NA,NA,NA,NA,NA,NA,NA,-30.01,-4.97,46.94,0.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PP-12-LOWELEV-DIST","WOND",-68.315178,44.23162,55,4,272,NA,NA,NA,NA,NA,NA,NA,NA,NA,-30.08,-4.35,49.08,1.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PP-13-LOWELEV-DIST","WOND",-68.315222,44.23156,56,6,215,NA,NA,NA,NA,NA,NA,NA,NA,NA,-29.58,-6.74,40.09,0.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PP-14-LOWELEV-DIST","WOND",-68.315083,44.231716,46,1,167,NA,NA,NA,NA,NA,NA,NA,NA,NA,-29.73,-5.84,48.22,1.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PP-15-LOWELEV-DIST","WOND",-68.3149,44.231739,66,5,178,NA,NA,NA,NA,NA,NA,NA,NA,NA,-29.05,-6.3,48,0.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PP-16-LOWELEV-DIST","CADCLIFFS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.14,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PP-17-LOWELEV-DIST","CADCLIFFS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.61,0.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PP-18-LOWELEV-DIST","CADCLIFFS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.64,1.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PP-19-LOWELEV-DIST","CADCLIFFS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.3,1.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PP-20-LOWELEV-DIST","CADCLIFFS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.74,1.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PP-16-HIGHELEV-DIST","STSAUV",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.77,0.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PP-17-HIGHELEV-DIST","STSAUV",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.94,0.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PP-18-HIGHELEV-DIST","STSAUV",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.49,1.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PP-19-HIGHELEV-DIST","STSAUV",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.01,1.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PP-20-HIGHELEV-DIST","STSAUV",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.01,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PP-16-LOWELEV-DIST","WOND",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.74,0.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PP-17-LOWELEV-DIST","WOND",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.72,0.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PP-18-LOWELEV-DIST","WOND",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.43,0.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PP-19-LOWELEV-DIST","WOND",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.16,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PP-20-LOWELEV-DIST","WOND",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.98,0.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
